Button Number,Latitude,Longitude
鉄格子,34.065368157978384,-118.24121189512697
鉄格子,34.0656824671723,-118.24213100472845
鉄格子,34.0660207736377,-118.24310221121499
鉄格子,34.06605413849627,-118.24320321737963
ホームレス,34.06616513069364,-118.24352111212797
鉄格子,34.06642280408678,-118.24431299083551
鉄格子,34.06650833864268,-118.24456297396493
鉄格子,34.06654849473255,-118.24468033407936
鉄格子,34.06665134104879,-118.24497981566827
鉄格子,34.066763246956505,-118.24530547669976
鉄格子,34.06691502192551,-118.24572747163813
鉄格子,34.06674018658632,-118.24593110212713
鉄格子,34.0666561409907,-118.2459805639754
鉄格子,34.066299117105,-118.24620788072227
鉄格子,34.06618167992388,-118.24627651598915
